Model type,Trial,F1_macro_validation_set,Precision validation set,recall validation set,roc_auc validation set,accuracy validation set,mcc validation set,F1_macro_test_set,Precision test set,recall test set,roc_auc test set,accuracy test set,mcc test set,Batch size,Learning rate,Protein layers,Compound layers,Final head layers,Epochs,batch_norm,dropout,alpha,gamma,lambda_focal,Best epoch
gat,25,0.7789182787208844,0.7695007800312013,0.7885691446842525,0.9106256545459456,0.8513011152416357,0.6670345485141373,0.7599667005827399,0.7234941880943995,0.8003117085525034,0.9022374674169744,0.8323426799328079,0.633551589721663,32,0.000163986873093,"[2560, 1280, 1280]","[2560, 1280]","[2560, 1280]",76,True,0.3769438435451724,0.25,2.0,0,2
gat,26,0.7875932469572045,0.7739197530864198,0.8017585931254996,0.9118690336001576,0.8563462559745088,0.6793608759361853,0.7539856801909309,0.7392362411081992,0.7693356711474771,0.8949112524207459,0.8335056208812508,0.6285231875837773,32,7.958721400277731e-05,"[2560, 1280]",[640],"[2560, 1280]",91,True,0.4758175255744107,0.25,2.0,0,1
gat,27,0.8047337278106508,0.8908296943231441,0.7338129496402878,0.9143010045244122,0.8817047265002655,0.7279906158289716,0.7780844321782684,0.818494623655914,0.7414767192674849,0.9062292464617115,0.8597364000516863,0.6776770157342012,32,7.640021513757671e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280]",70,True,0.6413511958513922,0.25,2.0,0,0
gat,28,0.7881753312945975,0.8044111527257595,0.7725819344524381,0.9011358308979058,0.8620552310143388,0.6862705532702598,0.7883483719105532,0.7937981433932451,0.7829729203195013,0.903864926168368,0.860576301847784,0.6844416389095128,32,0.0001231794751723,"[2560, 2560, 2560, 1280]",[2560],"[2560, 1280]",64,True,0.6393656591033139,0.25,2.0,0,3
gat,29,0.7568798633516797,0.7206360679436212,0.7969624300559552,0.8976648899568218,0.8299256505576208,0.6284846843039841,0.7513266921143282,0.7195078459343794,0.7860900058445354,0.9022115356457808,0.8274324848171598,0.6210150590432167,16,7.613920086274179e-05,[640],[1280],"[2560, 1280]",78,True,0.7839036016828609,0.25,2.0,0,4
gat,30,0.7352713178294574,0.7136945071482318,0.7581934452438049,0.8847741687365813,0.8186404673393521,0.59817104909619,0.7437176644493717,0.7072570725707257,0.784141827391389,0.9028061490877224,0.8207778782788474,0.6083983698950225,64,0.0002084654597947,"[2560, 1280]","[2560, 1280]","[2560, 640]",57,True,0.7196165598867882,0.25,2.0,0,0
gat,31,0.7502163752812878,0.6616793893129771,0.8661071143085531,0.9168238768825894,0.8084174190122145,0.6136031286997978,0.7380378657487093,0.6610143363650378,0.835378920709137,0.9093130933693478,0.8033337640522031,0.5942678380518948,32,6.006028109746748e-05,"[2560, 1280, 640]","[2560, 2560, 2560, 1280, 640]","[2560, 1280]",97,True,0.5518878332034679,0.25,2.0,0,2
gat,32,0.7812500000000001,0.7465404224326293,0.8193445243804957,0.9172763181105216,0.8475836431226765,0.6663801257600077,0.7591627821954117,0.7150482093663911,0.8090785115916618,0.9110014833086116,0.8297583667140458,0.6311527891435689,32,6.974654284946183e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280]",69,True,0.6200406306192823,0.25,2.0,0,3
gat,33,0.7740527673080739,0.7684127609294998,0.7797761790567546,0.8972424446128981,0.8487785448751991,0.6604635219636353,0.7604047346315388,0.7454613513007674,0.7759594778881745,0.894530119413264,0.8378343455226773,0.638213475775974,32,0.0001008018171852,"[2560, 1280]","[2560, 1280]","[2560, 1280]",118,True,0.503712641161107,0.25,2.0,0,0
gat,34,0.7637766348273328,0.7066621346023113,0.8309352517985612,0.917964515067866,0.8292618162506639,0.6365399194255935,0.7614594792812616,0.7191341991341992,0.8090785115916618,0.9085854972096982,0.8318904251195245,0.6349815692136601,32,5.074752174583337e-05,"[2560, 1280]","[2560, 640]","[2560, 1280]",85,True,0.3850133219865777,0.25,2.0,0,1
gat,35,0.763817097415507,0.7598892405063291,0.7677857713828937,0.8988143481238867,0.8422729686670207,0.6454438320574567,0.769990128331688,0.7804682809685811,0.7597895967270601,0.8925587586722895,0.8494637550071069,0.6582717811147578,16,7.027848383320024e-05,"[2560, 1280]","[2560, 2560, 2560, 1280, 640]","[2560, 1280]",74,True,0.8597329896597868,0.25,2.0,0,2
gat,36,0.7724763406940063,0.7622568093385214,0.7829736211031175,0.8929926436584331,0.8467870419543282,0.6571494660679571,0.774584254541959,0.7645161290322581,0.7849210987726476,0.9090253674679812,0.848494637550071,0.6606487373056965,32,9.824279265674586e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280]",50,False,0.2708812217105175,0.25,2.0,0,5
gat,37,0.7571615802284216,0.7122226135963368,0.8081534772182254,0.8912274156817688,0.8278013807753585,0.6275803117806267,0.7633982104971866,0.724947442186405,0.8061562439119423,0.9097169849429064,0.8342809148468795,0.6385569965398995,64,0.000128783464127,"[2560, 1280]","[2560, 1280]","[2560, 1280, 1280]",137,True,0.5847868655436944,0.25,2.0,0,5
gat,38,0.7678018575851394,0.793854033290653,0.7434052757793765,0.8940044385962403,0.8506372809346787,0.6586578856991235,0.7585590949687407,0.7730582524271845,0.744593804792519,0.8965573831773237,0.8428091484687944,0.6423396055777476,16,7.113782035594644e-05,"[1280, 640]","[2560, 1280]","[2560, 2560, 2560, 1280, 640]",100,False,0.3069393593299739,0.25,2.0,0,1
gat,39,0.7520394612028078,0.7157818707114482,0.7921662669864109,0.9045331925314618,0.8264737121614445,0.6209855969926878,0.7456766917293233,0.720355910659161,0.7728423923631405,0.8782016156604546,0.825171210750743,0.613611379303224,32,0.0003851760101634,"[2560, 1280, 1280]","[2560, 1280]","[2560, 1280]",110,True,0.1782211226691292,0.25,2.0,0,2
gat,40,0.7607272727272727,0.6977985323549033,0.8361310951239008,0.9107282762259378,0.8252788104089219,0.6312228787378183,0.7405745837287551,0.6646020439764633,0.8361581920903954,0.9082537136622112,0.805724253779558,0.5984321064955276,64,0.0001771812042714,"[2560, 1280, 1280, 1280]","[2560, 1280, 1280, 1280]","[2560, 1280]",61,False,0.7327432997719576,0.25,2.0,0,5
gat,41,0.7699619771863119,0.7342277012327774,0.8093525179856115,0.9085704398707676,0.83935209771641,0.6488036288755604,0.7587225401513753,0.7209261533064375,0.8007013442431327,0.9075295166926124,0.8311151311538959,0.6314145186146551,32,6.594440185680493e-05,"[2560, 1280, 1280, 640]","[2560, 1280, 1280, 640]","[2560, 1280]",73,True,0.5271920721619816,0.25,2.0,0,5
gat,42,0.7670561628345268,0.7257489300998573,0.8133493205435651,0.9117508378982698,0.8359001593202336,0.643503299053708,0.7534611288604899,0.6919315403422983,0.8270017533606079,0.9088269526957976,0.8205194469569712,0.620142916426056,32,8.098229446438353e-05,"[2560, 2560, 2560, 1280, 640]","[2560, 1280]","[2560, 1280, 1280, 1280, 1280]",65,True,0.5335409222781762,0.25,2.0,0,5
gat,43,0.7952286282306164,0.7911392405063291,0.7993605115907274,0.9068420015478672,0.8632501327668614,0.6926026132263053,0.7635670004768718,0.7479446935724963,0.7798558347944672,0.9023475691600996,0.839837188267218,0.6428693388967731,32,6.025496045601866e-05,"[2560, 1280]","[2560, 1280, 1280, 640]","[2560, 1280]",84,True,0.6726802190576697,0.25,2.0,0,1
gat,44,0.7708294674336612,0.7194319362660201,0.8301358912869704,0.9132768933958202,0.8360329261816251,0.6481921739159857,0.7594411897251014,0.7066420664206642,0.8207675823105397,0.911247006523526,0.827561700478098,0.6304863153986905,32,0.0001078782988496,[2560],"[2560, 1280]","[2560, 1280, 1280, 1280, 1280]",69,True,0.6111408445881404,0.25,2.0,0,2
gat,45,0.7900667779632721,0.8266375545851529,0.7565947242206235,0.9112777372535372,0.866436537440255,0.6938707102996661,0.7751830595685731,0.7876533279710436,0.763101500097409,0.9063788767362352,0.8532110091743119,0.6664388783859789,32,8.837724599659698e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280]",82,True,0.4786488642951255,0.25,2.0,0,3
gat,46,0.7913148371531965,0.7961165048543689,0.7865707434052758,0.8994765618916398,0.8621879978757302,0.6884742026504393,0.7691875701984277,0.7402269861286255,0.800506526397818,0.9105211711631548,0.8406770900633157,0.6489834250368613,32,6.459964776362123e-05,[1280],"[2560, 1280]","[2560, 2560, 2560, 1280, 640]",165,True,0.5787664149700115,0.25,2.0,0,1
gat,47,0.8086627417998318,0.8531499556344276,0.7685851318944844,0.900847115548118,0.879182156133829,0.722828665401302,0.7899735631058454,0.7940944881889764,0.7858951879992208,0.9150135727493054,0.8614162036438816,0.6865899301974688,16,5.091298570421429e-05,"[2560, 1280]","[2560, 1280, 640]","[2560, 1280, 1280, 1280, 640]",93,False,0.4084879807437674,0.25,2.0,0,0
gat,48,0.8028688524590164,0.8238015138772078,0.7829736211031175,0.9132480496715948,0.8722782793414764,0.7089978041590965,0.7727091633466135,0.7905033625433054,0.755698421975453,0.8884481398003066,0.8525649308696214,0.664056322566964,16,5.117053516002293e-05,"[2560, 1280, 1280, 1280, 640]","[2560, 1280, 640]","[2560, 1280, 1280, 1280, 640]",90,False,0.4246699331303156,0.25,2.0,0,7
gat,49,0.7857916395928093,0.8576832151300237,0.7250199840127898,0.9051512666606276,0.8686935740839087,0.6971586028319464,0.769025641025641,0.8119991336365605,0.730372102084551,0.8972101689077311,0.854503165783693,0.665246019099294,16,0.00014885877199954326,"[2560, 1280, 1280, 1280, 1280]","[2560, 1280]","[2560, 1280]",96,False,0.40083885403502784,0.25,2.0,0,0
