Model type,Trial,F1_macro_validation_set,Precision validation set,recall validation set,roc_auc validation set,accuracy validation set,mcc validation set,F1_macro_test_set,Precision test set,recall test set,roc_auc test set,accuracy test set,mcc test set,Batch size,Learning rate,num_heads_gat,num_heads_attention,activation_attention,dropout_gat,num_heads_descriptors_cross_attention,prediction_layers,dropout_attention,patience,best_epoch
gat,24,0.7870201096892139,0.9164449175093136,0.6896275530636764,0.9021987457441484,0.8762612851832182,0.7163514993662352,0.7721464154212694,0.8785115820601281,0.6887557959814529,0.9026364664264408,0.8640651246931128,0.6874795588780963,64,0.0005743111542802,8,4,Tanh(),0.5,5,"[2048, 1024]",0.1,5,2
gat,25,0.7995560488346283,0.8969123505976095,0.7212655186223468,0.8990030936826277,0.8801115241635687,0.7241143124505812,0.7925036239387037,0.8538598839803659,0.7393740340030912,0.8985412846562408,0.8705259077400181,0.7029412684398325,64,0.0003783064189438,4,4,Tanh(),0.1,5,"[2048, 512]",0.2,5,0
gat,26,0.8012435233160623,0.8303264604810997,0.7741289547456949,0.9154924737888048,0.8726765799256505,0.7086914859571798,0.7677025963808025,0.7818509615384616,0.7540571870170015,0.8960685782415864,0.8473963044320971,0.6543723048464272,64,0.0002434511231563,1,2,ReLU(),0.2,5,"[2048, 2048, 2048, 1024, 512]",0.2,5,8
gat,27,0.7678150070788108,0.9345203905801264,0.6515818982779336,0.9015510568988644,0.8693574083908656,0.7023317881871359,0.7739663789186734,0.939084895259096,0.6582302936630603,0.896264262472706,0.8714304173665848,0.7091747170260625,64,0.0004665431076074,2,1,ELU(alpha=1.0),0.1,5,[512],0.2,5,2
gat,28,0.7949167397020158,0.8776003870343493,0.7264717661193432,0.9000836753856365,0.8757302177376527,0.7134013862764444,0.7953336062218584,0.8455178416013925,0.750772797527048,0.9061436015635383,0.8707843390618943,0.7040524565656582,32,0.0001410165371652,8,8,Tanh(),0.2,5,[512],0.2,5,2
gat,29,0.7217280813214739,0.9874826147426982,0.5686824189026832,0.8029801799895724,0.8546202867764207,0.6768763943684694,0.6963226571767497,0.9019668100799016,0.5670401854714064,0.7790289291225695,0.8346039539992247,0.6206807534529504,16,0.0006544035573969,2,2,Tanh(),0.5,1,[512],0.2,5,0
gat,30,0.7401437595295143,0.8113658070678128,0.6804164997997597,0.8982788879923039,0.8416091343600637,0.6325178444468416,0.7318393417776333,0.8323073134695887,0.6530139103554868,0.8754686707192405,0.8399664039281561,0.6294150150477507,16,0.0008945680352185,4,4,LeakyReLU(negative_slope=0.01),0.2,5,"[2048, 1024]",0.4,5,0
gat,31,0.7971964729821388,0.9153686396677052,0.7060472567080497,0.9128771407516229,0.8809081253319172,0.7269491337042697,0.7737162750217581,0.8854581673306773,0.6870170015455951,0.9048877118141854,0.8656157126243701,0.6913740030462252,64,0.0006611788214197,8,4,ReLU(),0.3,5,"[2048, 1024, 1024]",0.1,5,5
gat,32,0.8018995929443691,0.921038961038961,0.71005206247497,0.9131826115867342,0.8836962294211365,0.7337532109862509,0.7676464278051919,0.8630004823926676,0.6912673879443586,0.8945483098973595,0.8600594392040315,0.6777000747891188,64,0.0003471377552102,8,4,ReLU(),0.3,5,[512],0.1,5,9
gat,33,0.8104041272570938,0.8747099767981439,0.7549058870644774,0.9166806324491078,0.8828996282527881,0.7304787496710119,0.7861128332300061,0.8449577965348734,0.7349304482225657,0.90713899470909,0.8662617909290606,0.6930649355769489,64,0.0003484691946756,8,4,ReLU(),0.3,5,"[2048, 1024]",0.1,5,5
gat,34,0.7765654648956356,0.9522978475858056,0.6555867040448539,0.898519096798979,0.8749336165693044,0.717094006818007,0.7861452513966481,0.9321674615792264,0.6796754250386399,0.9092177071602968,0.8763406124822328,0.7194748846153982,64,0.000468702409693,8,4,ReLU(),0.3,5,"[2048, 1024]",0.1,5,1
gat,35,0.7727850784230608,0.8208014407924359,0.7300760913095715,0.8880727578158338,0.8576739245884227,0.6721205778288156,0.7776353416822799,0.794159113796576,0.7617851622874807,0.8990077518298243,0.8543093422922858,0.6696902982946499,32,0.0002458870604183,8,4,Tanh(),0.4,1,"[2048, 1024]",0.1,5,0
gat,36,0.7876838235294118,0.923989218328841,0.6864237084501401,0.9009658064354484,0.8773234200743495,0.7194165840509334,0.7952406706327745,0.9034160727451462,0.7102009273570324,0.9060851372777065,0.8776973769220829,0.7202674560367135,64,0.0003583961320833,1,8,Tanh(),0.3,5,"[2048, 1024]",0.4,5,0
gat,37,0.8096354721807717,0.8655423883318141,0.7605126151381658,0.9096050513844022,0.8814391927774827,0.7272617175193624,0.7806899409509996,0.8416350234532053,0.7279752704791345,0.9042563350343582,0.8632252228970151,0.6858591860437612,64,0.0005349475001943,2,2,ReLU(),0.2,1,"[2048, 1024]",0.3,5,4
gat,38,0.7832135404590771,0.9300660792951542,0.6764116940328394,0.8941427230054417,0.8758629845990441,0.7166573138592097,0.7846627114919797,0.9095771777890984,0.6899149922720247,0.9059684993865328,0.8733686522806564,0.7107182860577781,32,0.0002176238090156,8,8,ELU(alpha=1.0),0.4,5,"[2048, 1024]",0.5,5,0
gat,39,0.7907590759075908,0.87744140625,0.7196635963155787,0.8996720990710203,0.8737387148167818,0.7086774147970631,0.7781188335891251,0.8993917891535732,0.6856646058732612,0.8961460961647578,0.8692337511306371,0.7005151119500181,64,0.0002987473969221,4,1,LeakyReLU(negative_slope=0.01),0.1,1,[512],0.2,5,4
gat,40,0.7964678009907388,0.8616029822926374,0.7404885863035643,0.8986690284548011,0.8745353159851301,0.7107678721061017,0.7899124635264693,0.8574660633484162,0.732225656877898,0.8996747697885525,0.8697506137743894,0.7009352644013991,16,0.0001705881706571,8,4,Tanh(),0.2,5,[512],0.4,5,2
gat,41,0.8145042967931252,0.8544415127528584,0.7781337605126152,0.9082621887078794,0.8825013276686139,0.7305058590796619,0.763961134556875,0.7763814083383204,0.7519319938176198,0.9048498577128374,0.8446181677219279,0.648380908590321,64,0.0003542660771424,8,4,ReLU(),0.3,5,[512],0.1,5,4
gat,42,0.80067283431455,0.8428508189464364,0.7625150180216259,0.9101799617336236,0.8741370154009559,0.7109408615002483,0.7987528914814442,0.8330186700230753,0.7671947449768161,0.916239525750466,0.8707197312314252,0.7050569765345828,64,0.000365459006656,8,4,ReLU(),0.3,5,"[2048, 1024]",0.1,5,7
gat,43,0.8001772264067347,0.8953891918691126,0.723267921505807,0.908846564238556,0.8802442910249602,0.7243704804453599,0.7861464635927394,0.854421768707483,0.7279752704791345,0.9023321614596228,0.8675539475384416,0.6957524090500463,64,0.0002314245941769,8,4,ReLU(),0.3,5,[512],0.1,5,1
gat,44,0.7540580423020167,0.977055449330784,0.6139367240688827,0.8980383212585987,0.8672331386086033,0.7033981762390259,0.745629682483054,0.9696875966594496,0.6056800618238022,0.9074315693115816,0.861803850626696,0.691900818080509,64,0.0005070563699275,8,8,ReLU(),0.3,5,[256],0.1,5,0
gat,45,0.7863607661544938,0.8287488908606921,0.7480977172607128,0.9045936752703044,0.8652416356877324,0.6902412698305272,0.7867707477403452,0.8399122807017544,0.7399536321483772,0.908320714049312,0.8658741439462463,0.6924538261580585,64,0.0002905917995957,4,4,ReLU(),0.5,5,"[2048, 1024]",0.1,5,10
gat,46,0.8011983736357802,0.8602941176470589,0.749699639567481,0.9219726233545796,0.8766595857673924,0.7159481899234933,0.7581504368207969,0.8451306413301662,0.6874034003091191,0.8897549323415841,0.8533402248352501,0.661695017100562,32,0.00041640365543,8,8,LeakyReLU(negative_slope=0.01),0.3,5,[512],0.2,5,3
gat,47,0.7989385588895693,0.8147377185678601,0.7837404885863035,0.9005924487736824,0.8692246415294742,0.702381401420849,0.7943729422328644,0.8213327831648443,0.7691267387944358,0.9111022731739488,0.866843261403282,0.6968934229446028,64,0.0002118433278907,1,4,ELU(alpha=1.0),0.5,5,[512],0.3,5,5
gat,48,0.7960422756914773,0.9076923076923076,0.7088506207448939,0.9038444146878936,0.8795804567180032,0.7233973910184494,0.7955429412383055,0.8724925063407886,0.7310664605873262,0.9026512536243168,0.8743377697376922,0.7116039124912205,64,0.0005565376735026,8,8,ReLU(),0.2,1,"[2048, 1024]",0.5,5,0
gat,49,0.7931818181818182,0.9169732002101945,0.6988386063275931,0.9109575383210597,0.879182156133829,0.7230995774641137,0.7665369649805447,0.8699705593719332,0.6850850077279753,0.9022287635959705,0.8604470861868458,0.6787220924171196,64,0.0008103147693316052,4,1,LeakyReLU(negative_slope=0.01),0.3,5,"[2048, 1024, 512]",0.2,5,2
